"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Water","2018-07-07","Ponds Lake",NA,NA,"Uncertain",0.978725808320817,0.984188540489163,0.986452307498548,0.988459847427993,0.991399703105655
"Water","2018-07-14","Gibson Lakes",NA,NA,"Inhibitory",0.00384140346981008,0.00573073272118536,0.0068641121419888,0.00828811935099493,0.0122023853484343
"Water","2018-07-14","Gibson Lakes",NA,NA,"NonInhibitory",0.00961881002750192,0.0130877191848024,0.0155444171197556,0.0183398550808763,0.0242601795973362
"Water","2018-07-14","Gibson Lakes",NA,NA,"Uncertain",0.96576607523659,0.974121188907098,0.977432519970147,0.980307510054612,0.984800276337307
"Water","2018-07-28","Ponds Lake",NA,NA,"Inhibitory",0.00418263866638011,0.00592023132115969,0.00699672818634457,0.00815901183299668,0.0111707912244068
"Water","2018-07-28","Ponds Lake",NA,NA,"NonInhibitory",0.00524001070818858,0.00740368961260561,0.00867451086352412,0.0101697175960223,0.0138209101435484
"Water","2018-07-28","Ponds Lake",NA,NA,"Uncertain",0.97647741849947,0.982015377214777,0.984261597347834,0.986221441981915,0.989471063873948
"Water","2018-08-04","Gibson Lakes",NA,NA,"Inhibitory",0.00422877365432414,0.00614940635359424,0.00740030177539442,0.00891981719551868,0.0128935209522377
"Water","2018-08-04","Gibson Lakes",NA,NA,"NonInhibitory",0.0111732812775512,0.014941798703025,0.0175086992284171,0.0202191983186887,0.0267822508376121
"Water","2018-08-04","Gibson Lakes",NA,NA,"Uncertain",0.963296649405367,0.971694834940706,0.974837329244777,0.978066496327987,0.982929220425567
"Water","2018-08-11","Ponds Lake",NA,NA,"Inhibitory",0.00432987453204911,0.00601303041595532,0.00707099285450009,0.00831301242813114,0.0111009235644634
"Water","2018-08-11","Ponds Lake",NA,NA,"NonInhibitory",0.00564139747463265,0.00779598854745944,0.00911962619985541,0.0106266022302889,0.0144542977155089
"Water","2018-08-11","Ponds Lake",NA,NA,"Uncertain",0.975623209585965,0.981431152762658,0.983704311599129,0.985692544075237,0.988906561755818
"Water","2018-08-18","Gibson Lakes",NA,NA,"Inhibitory",0.00448381395490267,0.00644621726394282,0.007772246567596,0.0092722562996577,0.0131427073970887
"Water","2018-08-18","Gibson Lakes",NA,NA,"NonInhibitory",0.0147886774791748,0.0194058919839145,0.0224054137548606,0.0257208493346887,0.0342876596747496
"Water","2018-08-18","Gibson Lakes",NA,NA,"Uncertain",0.955916219335088,0.965883762406891,0.969721694494713,0.973284419881809,0.978763791173685
"Water","2018-08-25","Ponds Lake",NA,NA,"Inhibitory",0.00437529759683281,0.00613479491069647,0.00716382554843342,0.00849125373526184,0.0115412494828653
"Water","2018-08-25","Ponds Lake",NA,NA,"NonInhibitory",0.00519822265206975,0.00731051899182692,0.00852232676446578,0.0101150759910701,0.0138158984560836
"Water","2018-08-25","Ponds Lake",NA,NA,"Uncertain",0.975955678113013,0.98189735913236,0.984163806526346,0.986063553446625,0.989208252901881
