"Type","Date","Site","Age","LM","Taxon","Quantile_0.025","Quantile_0.25","Quantile_0.5","Quantile_0.75","Quantile_0.975"
"Salamander","2018-09-15","Gibson Lakes","Age-0","Metamorphosed","Other",0.148652018868946,0.180013968440225,0.195857196152458,0.21431348452065,0.245807582441799
"Salamander","2018-09-22","Ponds Lake","Age-0","Larvae/Neotene","Uncertain",0.842006267118365,0.858044578827238,0.866683506245909,0.874970089354328,0.892027405744629
"Salamander","2018-09-22","Ponds Lake","Age-0","Larvae/Neotene","NonInhibitory",0.0145996308090819,0.0177055657093283,0.0195955160494285,0.0214357360751246,0.0250124637100761
"Salamander","2018-09-22","Ponds Lake","Age-0","Larvae/Neotene","Inhibitory",0.0686814423506938,0.0806926400343104,0.0867281684750783,0.0929143296604759,0.104799681396229
"Salamander","2018-09-22","Ponds Lake","Age-0","Larvae/Neotene","Other",0.0201844598378019,0.0242126677584818,0.026727676552446,0.0290912954232384,0.0349003889593706
"Salamander","2018-09-22","Ponds Lake","Age-1","Larvae/Neotene","Uncertain",0.80748417031428,0.836690093362161,0.850274802374928,0.864949073879784,0.890433216030058
"Salamander","2018-09-22","Ponds Lake","Age-1","Larvae/Neotene","NonInhibitory",0.0109696796157403,0.0158611183967605,0.0192131886097143,0.022886633567321,0.0326485331807424
"Salamander","2018-09-22","Ponds Lake","Age-1","Larvae/Neotene","Inhibitory",0.0702681273904233,0.0902525591365896,0.103003223253042,0.11548092583411,0.142630811508716
"Salamander","2018-09-22","Ponds Lake","Age-1","Larvae/Neotene","Other",0.0189145544414822,0.0233526838048407,0.0262384800644426,0.0288519714951033,0.0345067547559496
"Water","2018-06-16","Gibson Lakes",NA,NA,"Uncertain",0.640864928559903,0.670879087600683,0.685755896389188,0.699672528113716,0.72793106784109
"Water","2018-06-16","Gibson Lakes",NA,NA,"NonInhibitory",0.00761979258293046,0.0117004658451719,0.0146504237163779,0.0182135140154908,0.0256686720093371
"Water","2018-06-16","Gibson Lakes",NA,NA,"Inhibitory",0.00974642529533085,0.0120077275887409,0.0132566767908924,0.0147151145534028,0.0176173510018061
"Water","2018-06-16","Gibson Lakes",NA,NA,"Other",0.245969170633626,0.272038775581074,0.286039114437593,0.299687373393944,0.327991052199204
"Water","2018-06-23","Ponds Lake",NA,NA,"Uncertain",0.507201783185145,0.527998496660878,0.538859680913837,0.549858697257931,0.570510459257073
"Water","2018-06-23","Ponds Lake",NA,NA,"NonInhibitory",0.00464551914410209,0.00590285113591809,0.00659573974785338,0.00734849567942968,0.00901872768861194
"Water","2018-06-23","Ponds Lake",NA,NA,"Inhibitory",0.0121723781247726,0.01408269711865,0.0151817916155476,0.0163528186928785,0.018925996297773
