"Taxon","ProbabilityOfBdInhibition"
"Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;_1",0.5066
"Bacteria;Methylomirabilota;Methylomirabilia;Rokubacteriales;_1",0.5116
"Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;_1",0.5016
"Bacteria;Chloroflexi;KD4-96;_2",0.5004
"Bacteria;Desulfobacterota;Desulfobaccia;Desulfobaccales;Desulfobaccaceae;Desulfobacca;_1",0.4964
"Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Synechococcaceae;_1",0.5066
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;Candidatus_Planktophila;_3",0.4928
"Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales;_2",0.5076
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Simplicispira;_1",0.4916
"Bacteria;Chloroflexi;KD4-96;_3",0.5002
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;RBG-16-58-14;_4",0.4982
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;_2",0.5032
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;_2",0.4988
"Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;_1",0.51
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;_2",0.489
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_3",0.5024
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_4",0.5008
"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;madagascariense;_1",0.49
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Aurantimicrobium;_1",0.4934
"Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Trichlorobacter;_1",0.504
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;_1",0.4994
"Bacteria;Nitrospirota;4-29-1;_2",0.5044
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_5",0.5032
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;SC-I-84;_1",0.508
"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Simkaniaceae;_1",0.5004
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter;_1",0.511
"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;_12",0.4982
"Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium_PCC-6307;_2",0.5052
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_6",0.5
"Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta;_1",0.4996
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;alphaI_cluster;_2",0.5062
"Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;_1",0.5022
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_7",0.4948
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;RBG-16-58-14;_5",0.4918
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;_1",0.497
"Bacteria;Desulfobacterota;Syntrophia;Syntrophales;_1",0.4882
"Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium_PCC-6307;_3",0.5038
"Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium_PCC-6307;_4",0.4904
"Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium_PCC-6307;_5",0.4996
"Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Aquisphaera;_4",0.5038
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas;_1",0.5006
"Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;_1",0.4866
"Bacteria;Nitrospirota;Thermodesulfovibrionia;_1",0.4976
"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Paeniglutamicibacter;_1",0.497
"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Sporichthyaceae;hgcI_clade;_11",0.5004
"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Piscinibacter;_1",0.5018
"Bacteria;Nitrospirota;Thermodesulfovibrionia;_2",0.4948
"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;_8",0.4978
"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;ADurb.Bin063-1;_1",0.492
